turn,decision_latency_ms,memory_recall_f1
1,32.909665984334424,0.0
2,2.4752089811954647,0.0
3,2.1627919923048466,0.0
4,3.3351670135743916,0.0
5,2.8907499799970537,0.0
6,2.633291995152831,0.0
7,2.1880000131204724,0.0
8,2.9550420003943145,0.0
9,2.181292016757652,0.0
10,2.254666993394494,1.0
11,2.3827910190448165,1.0
12,2.821625006617978,1.0
13,2.221583010395989,1.0
14,2.2182079846970737,1.0
15,2.1704589889850467,1.0
16,2.389625005889684,1.0
17,2.301458007423207,1.0
18,2.43441597558558,1.0
19,2.440250013023615,1.0
20,2.4460830027237535,1.0
21,2.446583006531,1.0
22,2.775500004645437,1.0
23,2.931834023911506,1.0
24,2.7445410087238997,1.0
25,2.429874992230907,1.0
26,3.0975410190876573,1.0
27,2.531416015699506,1.0
28,2.5657079822849482,1.0
29,2.5908749958034605,1.0
30,2.547540992964059,1.0
31,2.998540992848575,1.0
32,2.926749992184341,1.0
33,2.7023329748772085,1.0
34,2.7692080184351653,1.0
35,2.7883749862667173,1.0
36,3.4579589846543968,1.0
37,3.0989170190878212,1.0
38,2.925042004790157,1.0
39,2.9786250088363886,1.0
40,3.299333999166265,1.0
41,3.153375000692904,1.0
42,3.138458007015288,1.0
43,3.1992910080589354,1.0
44,3.2038329809438437,1.0
45,3.3416670048609376,1.0
46,3.3854159992188215,1.0
47,3.4216670028399676,1.0
48,7.981208997080103,1.0
49,7.498749997466803,1.0
50,7.574084011139348,1.0
51,7.009416003711522,1.0
52,7.6333330071065575,1.0
53,7.112375024007633,1.0
54,7.276917021954432,1.0
55,7.350708998274058,1.0
56,7.51866601058282,1.0
57,7.594624999910593,1.0
58,7.684458018047735,1.0
59,8.05158299044706,1.0
60,8.095833996776491,1.0
61,7.655749999685213,1.0
62,9.648332983488217,1.0
63,6.264208990614861,1.0
64,6.4891669899225235,1.0
65,7.597874995553866,1.0
66,8.952957985457033,1.0
67,8.750417007831857,1.0
68,9.006082982523367,1.0
69,9.141042013652623,1.0
70,9.2058340087533,1.0
71,8.857834007358178,1.0
72,6.416874995920807,1.0
73,7.8363750071730465,1.0
74,7.581333018606529,1.0
75,7.80333299189806,1.0
76,7.79158400837332,1.0
77,7.170917000621557,1.0
78,8.175916998879984,1.0
79,7.840665988624096,1.0
80,7.965875003719702,1.0
81,8.405375003349036,1.0
82,8.12262500403449,1.0
83,8.457917021587491,1.0
84,8.357666985830292,1.0
85,8.700334001332521,1.0
86,9.165875002508983,1.0
87,9.167541982606053,1.0
88,9.65479199658148,1.0
89,9.429416997591034,1.0
90,9.775291022378951,1.0
91,9.680041985120624,1.0
92,9.343874990008771,1.0
93,9.700709022581577,1.0
94,11.536083999089897,1.0
95,10.368458984885365,1.0
96,10.928708012215793,1.0
97,11.112499982118607,1.0
98,10.41462502325885,1.0
99,10.808167018694803,1.0
100,10.992541996529326,1.0
